Top 10 Vehicles by Make/Model,,,
,cars.make,cars.model,count
1,toyota,prius,191
2,smart,fortwo,114
3,honda,civic,53
4,toyota,prius-c,50
5,audi,a3,44
6,mini,cooper,42
7,fiat,500,36
8,honda,fit,36
9,bmw,3-series,35
10,toyota,corolla,29
11,ford,focus,24
12,mazda,3,22
13,toyota,camry,19
14,volkswagen,jetta,19
15,honda,cr-v,18
16,scion,im,18
17,toyota,rav4,18
18,ford,fiesta,17
19,toyota,yaris,17
20,honda,accord,15
21,toyota,tacoma,15
22,toyota,camry-hybrid,14
23,audi,a4,13
24,tesla,model-s,13
25,subaru,impreza,12
26,hyundai,elantra,11
27,toyota,sienna,11
28,nissan,versa,10
29,scion,ia,10
30,subaru,xv-crosstrek,10
31,ford,escape,8
32,ford,ranger,8
33,mercedes-benz,c-class,8
34,bmw,5-series,7
35,ford,fusion,7
36,jeep,wrangler,7
37,nissan,altima,7
38,scion,iq,7
39,subaru,forester,7
40,volkswagen,gti,7
41,bmw,4-series,6
42,ford,escape-hybrid,6
43,honda,odyssey,6
44,jeep,grand-cherokee,6
45,lexus,ct-200h,6
46,nissan,rogue,6
47,nissan,sentra,6
48,scion,xb,6
49,volkswagen,tiguan,6
50,audi,q5,5
51,bmw,1-series,5
52,bmw,z4,5
53,chevrolet,volt,5
54,ford,explorer,5
55,kia,soul,5
56,mazda,6,5
57,mazda,cx-5,5
58,mercedes-benz,e-class,5
59,mini,cooper-countryman,5
60,toyota,highlander,5
61,toyota,matrix,5
62,chevrolet,colorado,4
63,chevrolet,cruze,4
64,chevrolet,sonic,4
65,dodge,ram-pickup-1500,4
66,ford,transit-connect,4
67,hyundai,sonata,4
68,toyota,prius-plug-in,4
69,volkswagen,golf-gti,4
70,volkswagen,passat,4
71,volvo,s60,4
72,acura,ilx,3
73,acura,tsx,3
74,bmw,x1,3
75,chevrolet,malibu,3
76,ford,c-max-energi,3
77,ford,f-150,3
78,ford,fusion-hybrid,3
79,ford,mustang,3
80,honda,element,3
81,honda,ridgeline,3
82,hyundai,elantra-gt,3
83,infiniti,q50,3
84,kia,forte,3
85,kia,optima,3
86,land-rover,range-rover-sport,3
87,lexus,es-300h,3
88,lexus,is-250,3
89,mazda,2,3
90,mazda,mx-5-miata,3
91,mercedes-benz,cla-class,3
92,porsche,boxster,3
93,subaru,outback,3
94,toyota,prius-v,3
95,volkswagen,golf,3
96,volkswagen,new-beetle,3
97,volvo,s40,3
98,acura,mdx,2
99,acura,rdx,2
100,audi,s3,2
101,audi,s4,2
102,chevrolet,aveo,2
103,chevrolet,equinox,2
104,chevrolet,spark,2
105,chrysler,town-and-country,2
106,dodge,grand-caravan,2
107,fiat,500l,2
108,ford,fusion-energi,2
109,honda,hr-v,2
110,honda,insight,2
111,hyundai,tucson,2
112,jeep,cherokee,2
113,jeep,compass,2
114,mazda,5,2
115,mercedes-benz,clk-class,2
116,mercedes-benz,gla-class,2
117,mercedes-benz,slk-class,2
118,mitsubishi,lancer,2
119,nissan,altima-hybrid,2
120,nissan,xterra,2
121,porsche,cayenne,2
122,scion,tc,2
123,scion,xd,2
124,subaru,legacy,2
125,toyota,4runner,2
126,toyota,highlander-hybrid,2
127,toyota,tundra,2
128,volkswagen,beetle,2
129,volvo,c70,2
130,acura,rlx,1
131,acura,tl,1
132,acura,tsx-sport-wagon,1
133,audi,a3-sportback-e-tron,1
134,audi,a5,1
135,audi,s5,1
136,audi,sq5,1
137,bmw,4-series-gran-coupe,1
138,bmw,m4,1
139,bmw,x3,1
140,bmw,x4,1
141,bmw,x5,1
142,buick,verano,1
143,cadillac,xts,1
144,chevrolet,avalanche,1
145,chevrolet,cruze-limited,1
146,chevrolet,malibu-hybrid,1
147,chevrolet,malibu-limited,1
148,chevrolet,silverado-1500,1
149,chrysler,200,1
150,chrysler,pt-cruiser,1
151,chrysler,sebring,1
152,dodge,caravan,1
153,dodge,dakota,1
154,dodge,durango,1
155,dodge,journey,1
156,fiat,500x,1
157,ford,e-series-van,1
158,ford,econoline-cargo,1
159,ford,edge,1
160,ford,expedition,1
161,ford,explorer-sport-trac,1
162,ford,f-150-heritage,1
163,ford,flex,1
164,ford,freestyle,1
165,gmc,acadia,1
166,gmc,savana,1
167,gmc,sierra-1500,1
168,gmc,terrain,1
169,gmc,yukon-xl,1
170,honda,accord-hybrid,1
171,hyundai,accent,1
172,hyundai,santa-fe,1
173,hyundai,santa-fe-sport,1
174,hyundai,sonata-hybrid,1
175,hyundai,veloster,1
176,infiniti,fx35,1
177,infiniti,fx45,1
178,infiniti,g37-coupe,1
179,infiniti,g37-sedan,1
180,infiniti,qx50,1
181,jeep,liberty,1
182,jeep,patriot,1
183,jeep,renegade,1
184,kia,rio,1
185,kia,sedona,1
186,kia,sorento,1
187,kia,spectra,1
188,kia,sportage,1
189,land-rover,range-rover,1
190,land-rover,range-rover-evoque,1
191,lexus,es-330,1
192,lexus,gx-460,1
193,lexus,is-250-c,1
194,lexus,rc-200t,1
195,lexus,rx-350,1
196,lincoln,mkz,1
197,mazda,cx-9,1
198,mazda,mazdaspeed-3,1
199,mazda,mpv,1
200,mercedes-benz,glk-class,1
201,mercedes-benz,m-class,1
202,mercury,mariner-hybrid,1
203,mercury,milan,1
204,mini,cooper-clubman,1
205,mini,cooper-coupe,1
206,mitsubishi,eclipse,1
207,mitsubishi,mirage,1
208,mitsubishi,outlander,1
209,nissan,350z,1
210,nissan,370z,1
211,nissan,frontier,1
212,nissan,juke,1
213,nissan,maxima,1
214,nissan,murano,1
215,nissan,quest,1
216,nissan,titan,1
217,porsche,911,1
218,porsche,macan,1
219,porsche,panamera,1
220,ram,cv-tradesman,1
221,scion,xa,1
222,subaru,crosstrek,1
223,suzuki,reno,1
224,suzuki,sx4,1
225,toyota,rav4-ev,1
226,toyota,venza,1
227,volkswagen,beetle-convertible,1
228,volkswagen,cc,1
229,volkswagen,golf-sportwagen,1
230,volkswagen,jetta-hybrid,1
231,volkswagen,rabbit,1
232,volvo,s80,1
233,volvo,xc70,1
