Top 10 Vehicles by Make/Model/Year,,,,
,cars.year,cars.make,cars.model,count
1,2015,toyota,prius,64
2,2013,smart,fortwo,46
3,2013,toyota,prius,35
4,2015,audi,a3,33
5,2015,toyota,prius-c,28
6,2014,toyota,prius,23
7,2008,smart,fortwo,20
8,2016,scion,im,18
9,2012,smart,fortwo,15
10,2008,toyota,prius,14
11,2015,fiat,500,14
12,2009,smart,fortwo,11
13,2010,toyota,prius,10
14,2011,toyota,prius,10
15,2016,scion,ia,10
16,2012,fiat,500,9
17,2016,audi,a3,9
18,2007,toyota,prius,8
19,2012,ford,fiesta,8
20,2013,fiat,500,8
21,2013,toyota,prius-c,8
22,2014,toyota,prius-c,8
23,2006,honda,civic,7
24,2011,bmw,3-series,7
25,2012,ford,focus,7
26,2012,honda,civic,7
27,2012,honda,fit,7
28,2013,honda,fit,7
29,2014,ford,focus,7
30,2014,subaru,xv-crosstrek,7
31,2015,honda,civic,7
32,2015,smart,fortwo,7
33,2016,toyota,prius,7
34,2005,toyota,prius,6
35,2009,toyota,prius,6
36,2012,mini,cooper,6
37,2012,scion,xb,6
38,2012,toyota,camry-hybrid,6
39,2013,mini,cooper,6
40,2014,honda,civic,6
41,2015,honda,fit,6
42,2008,honda,civic,5
43,2009,bmw,3-series,5
44,2009,mini,cooper,5
45,2010,honda,fit,5
46,2012,toyota,camry,5
47,2012,toyota,prius-c,5
48,2013,toyota,yaris,5
49,2014,fiat,500,5
50,2014,mini,cooper,5
51,2014,smart,fortwo,5
52,2014,toyota,yaris,5
53,2015,toyota,corolla,5
54,2016,honda,fit,5
55,2006,mini,cooper,4
56,2007,ford,ranger,4
57,2007,mini,cooper,4
58,2010,audi,a4,4
59,2010,honda,civic,4
60,2010,smart,fortwo,4
61,2010,toyota,corolla,4
62,2011,mini,cooper,4
63,2011,toyota,rav4,4
64,2012,toyota,prius,4
65,2013,bmw,3-series,4
66,2013,honda,civic,4
67,2013,tesla,model-s,4
68,2014,tesla,model-s,4
69,2015,bmw,3-series,4
70,2015,mazda,3,4
71,2015,mini,cooper,4
72,2015,toyota,rav4,4
73,2015,toyota,sienna,4
74,2002,toyota,tacoma,3
75,2006,toyota,corolla,3
76,2006,toyota,prius,3
77,2007,bmw,3-series,3
78,2007,toyota,tacoma,3
79,2008,bmw,3-series,3
80,2008,honda,cr-v,3
81,2009,audi,a4,3
82,2009,honda,civic,3
83,2010,honda,accord,3
84,2010,mazda,3,3
85,2011,ford,escape,3
86,2011,honda,civic,3
87,2011,honda,cr-v,3
88,2011,smart,fortwo,3
89,2011,toyota,corolla,3
90,2012,bmw,5-series,3
91,2012,hyundai,elantra,3
92,2012,kia,soul,3
93,2012,mazda,3,3
94,2012,toyota,corolla,3
95,2013,ford,focus,3
96,2013,mazda,3,3
97,2013,scion,iq,3
98,2013,subaru,xv-crosstrek,3
99,2013,volkswagen,gti,3
100,2014,bmw,4-series,3
101,2014,ford,explorer,3
102,2014,ford,fiesta,3
103,2014,honda,cr-v,3
104,2015,bmw,4-series,3
105,2015,subaru,impreza,3
106,2015,toyota,yaris,3
107,2015,volkswagen,jetta,3
108,2016,honda,civic,3
109,2016,mazda,3,3
110,2016,smart,fortwo,3
