"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"1",1,"101418219","Base","front wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","4","1997","150","6500","140","4300"
"2",1,"200701416","Technology Package","front wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","4","1997","150","6500","140","4300"
"3",1,"100650681","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3471","253","5800","250","3500"
"4",1,"101037425","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3664","300","6000","275","5000"
"5",1,"100773231","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2300","240","6000","260","4500"
"6",1,"100905540","Base","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","2300","240","6000","260","4500"
"7",1,"101413824","Base","front wheel drive","4","Luxury,Performance","Midsize Cars","Midsize","Car","Sedan","Car","6","3471","310","6500","272","4500"
"8",1,"100655175","Base","front wheel drive","4","Luxury,Performance","Midsize Cars","Midsize","Car","Sedan","Car","6","3210","258","6200","233","5000"
"9",1,"100668206","Base","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","2354","205","7000","164","4500"
"10",1,"101147985","Base","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","2354","201","7000","172","4300"
"11",1,"101254327","Base","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","2354","201","7000","172","4300"
"12",1,"101373067","Base","front wheel drive","4","Luxury","Small Station Wagons","Midsize","Car","Wagon","Car","4","2354","201","7000","170","4300"
"13",1,"101148034","2.0T Premium","front wheel drive","4","Luxury","Small Station Wagons","Compact","Car","Wagon","Car","4","1984","200","5100","207","1800"
"14",1,"200428354","2.0 TFSI Premium quattro","all wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","4","1984","220","4500","258","1600"
"15",1,"200736135","1.8 TFSI Premium Plus","front wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","4","1798","170","4500","200","1600"
"16",1,"200748641","1.4 TFSI PHEV Premium","front wheel drive","4","Hatchback,Luxury,Hybrid","Compact Cars","Compact","Car","4dr Hatchback","Car","4",NA,"204",NA,"258",NA
"17",1,"100549247","2.0T","front wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","4","1984","200","5100","207","1800"
"18",1,"100882872","2.0T","front wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","4","1984","200","5100","207","1800"
"19",1,"101052651","2.0T","front wheel drive","2","Luxury","Subcompact Cars","Compact","Car","Convertible","Car","4","1984","200","5100","207","1800"
"20",1,"101186695","2.0T Premium","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","1984","211","5300","258","1500"
"21",1,"200477385","2.0T Premium quattro","all wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","1984","220","4450","258","1500"
"22",1,"200701687","2.0T Premium","front wheel drive","4","Luxury","Compact Cars","Midsize","Car","Sedan","Car","4","1984","220","4450","258","1500"
"23",1,"200478243","2.0T Premium quattro","all wheel drive","2","Luxury","Subcompact Cars","Midsize","Car","Coupe","Car","4","1984","220","4450","258","1500"
"24",1,"101343993","2.0T Premium quattro","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","1984","211","4300","258","1500"
"25",1,"101391515","2.0T Premium quattro","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","1984","211","4300","258","1500"
"26",1,"200478731","2.0T Prestige quattro","all wheel drive","4","Crossover,Luxury,Hybrid","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","1984","245","4300","354","1500"
"27",1,"200702780","2.0T Premium quattro","all wheel drive","4","Crossover,Luxury","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","4","1984","220","4450","258","1500"
"28",1,"200466202","2.0T Premium Plus quattro","all wheel drive","4","Factory Tuner,Luxury,High-Performance","Compact Cars","Compact","Car","Sedan","Car","4","1984","292","5400","280","1900"
"29",1,"200736281","2.0T Premium Plus quattro","all wheel drive","4","Factory Tuner,Luxury,High-Performance","Compact Cars","Compact","Car","Sedan","Car","4","1984","292","5400","280","1900"
"30",1,"100549025","quattro","all wheel drive","2","Factory Tuner,Luxury,Performance","Subcompact Cars","Compact","Car","Convertible","Car","8","4163","340","7000","302","3500"
"31",1,"101394448","Premium Plus quattro","all wheel drive","4","Factory Tuner,Luxury,High-Performance","Compact Cars","Midsize","Car","Sedan","Car","6","2995","333","5500","325","2900"
"32",1,"200479503","Premium Plus quattro","all wheel drive","2","Factory Tuner,Luxury,Performance","Subcompact Cars","Midsize","Car","Convertible","Car","6","2995","333","5500","325","2900"
"33",1,"200459119","3.0T Premium Plus quattro","all wheel drive","4","Crossover,Factory Tuner,Luxury,High-Performance","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","2995","354","6000","347","4000"
"34",1,"100974974","128i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"35",1,"101082655","128i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"36",1,"101200599","128i","rear wheel drive","2","Luxury","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"37",1,"101288165","128i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"38",1,"100180616","325i","rear wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","6","2494","184","6000","175","3500"
"39",1,"100273737","325Ci","rear wheel drive","2","Luxury","Mini Compact Cars","Compact","Car","Convertible","Car","6","2494","184","6000","175","3500"
"40",1,"100467103","325i","rear wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","6","2494","184","6000","175","3500"
"41",1,"100530523","325i","rear wheel drive","4","Luxury","Compact Cars","Compact","Car","Sedan","Car","6","2996","215","6250","185","2750"
"42",1,"100775891","328i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"43",1,"100946384","328i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"44",1,"101082763","328i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"45",1,"101200928","328i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Compact","Car","Coupe","Car","6","2996","230","6500","200","2750"
"46",1,"101276754","328i","rear wheel drive","2","Luxury,Performance","Subcompact Cars","Midsize","Car","Coupe","Car","6","2996","230","6500","200","2750"
