"","equipment.id","attributes.name","attributes.value","styles.id"
"1","10141821922","Cargo Capacity, All Seats In Place","12.4",101418219
"2","10141821923","Phone","pre-wired for phone",101418219
"3","10141821923","Bluetooth","Bluetooth",101418219
"4","10141821926","External Temperature Gauge","external temperature display",101418219
"5","10141821926","Tire Pressure Monitoring System","tire pressure monitoring",101418219
"6","10141821926","Low Fuel Level Indicator","low fuel level",101418219
"7","10141821926","Tachometer","tachometer",101418219
"8","10141821926","Trip Computer","trip computer",101418219
"9","10141821926","Clock","clock",101418219
"10","10141821927","Number Of Doors","4",101418219
"11","10141821928","Exterior Entry Lights","exterior entry lighting",101418219
"12","10141821928","Headlights Auto Delay","auto delay off",101418219
"13","10141821928","Daytime Running Lights","daytime running lights",101418219
"14","10141821928","Headlights Dusk Sensor","dusk sensing",101418219
"15","10141821931","Number Of Passenger Seat Manual Adjustments","4",101418219
"16","10141821931","Passenger Seat Whiplash Protection","whiplash protection system",101418219
"17","10141821931","Adjustable Passenger Seat Headrest","height adjustable headrests",101418219
"18","10141821932","1st Row Vanity Mirrors","dual illuminated vanity mirrors",101418219
"19","10141821932","Passenger Side Mirror Adjustment","power",101418219
"20","10141821932","Turn Signal Side Mirrors","turn signal in mirrors",101418219
"21","10141821932","Exterior Mirror Adjustment","power",101418219
"22","10141821932","Heated Exterior Mirrors","heated",101418219
"23","10141821932","Reverse Tilt Side Mirrors","driver mirror",101418219
"24","10141821932","Heated Passenger Side Mirror","heated",101418219
"25","10141821933","Power Steering","electric speed-proportional power steering",101418219
"26","10141821934","1st Row Seat Type","bucket",101418219
"27","10141821934","Adjustable Seat Headrest","height adjustable headrests",101418219
"28","10141821934","1st Row Upholstery","vinyl/cloth",101418219
"29","10141821934","Number Of 1st Row Headrests","2",101418219
"30","10141821934","Seat Whiplash Protection","whiplash protection system",101418219
"31","10141821935","2nd Row Leg Room","34.0",101418219
"32","10141821935","1st Row Hip Room","50.2",101418219
"33","10141821935","2nd Row Shoulder Room","53.5",101418219
"34","10141821935","1st Row Leg Room","42.3",101418219
"35","10141821935","1st Row Head Room","37.9",101418219
"36","10141821935","2nd Row Head Room","35.9",101418219
"37","10141821935","2nd Row Hip Room","51.6",101418219
"38","10141821935","Epa Interior Volume","101.7",101418219
"39","10141821935","1st Row Shoulder Room","55.6",101418219
"40","10141821936","Spare Wheel Rim Type","steel",101418219
"41","10141821936","Spare Tire Size","temporary",101418219
"42","10141821936","Spare Tire Mount Location","inside",101418219
"43","10141821937","Emergency Trunk Release","interior trunk release",101418219
"44","10141821939","Power Outlet(s)","12V",101418219
"45","10141821940","Overall Width Without Mirrors","70.6",101418219
"46","10141821940","Wheelbase","105.1",101418219
"47","10141821940","Minimum Ground Clearance","4.4",101418219
"48","10141821940","Overall Length","179.1",101418219
"49","10141821940","Overall Height","55.6",101418219
"50","10141821940","Rear Track","60.3",101418219
"51","10141821940","Maximum Ground Clearance","6.2",101418219
"52","10141821940","Front Track","59.4",101418219
"53","10141821941","Remote Window Operation","remote window operation",101418219
"54","10141821941","Speed Sensitive Front Wipers","speed sensitive",101418219
"55","10141821941","One Touch Windows","2",101418219
"56","10141821941","Power Windows","power windows",101418219
"57","10141821941","Intermittent Front Wipers","intermittent",101418219
"58","10141821941","Rear Defogger","rear defogger",101418219
"59","10141821942","Steering Wheel Adjustments","tilt and telescopic",101418219
"60","10141821942","Cruise Controls On Steering Wheel","cruise controls",101418219
"61","10141821942","Transmission Controls On Steering Wheel","gear shift controls",101418219
"62","10141821942","Steering Wheel Trim","leather",101418219
"63","10141821942","Audio Controls On Steering Wheel","audio controls",101418219
"64","10141821942","Phone Controls On Steering Wheel","phone controls on steering wheel",101418219
"65","10141821945","Cupholders Location","front and rear",101418219
"66","10141821945","Seatback Storage","front seatback storage",101418219
"67","10141821945","Door Pockets Location","front and rear",101418219
"68","10141821945","Center Console","front console with storage",101418219
"69","10141821946","One Touch Power Sunroof","one-touch power sunroof",101418219
"70","10141821946","Remote Sunroof Operation","remote sunroof operation",101418219
"71","10141821946","Sunroof","power glass",101418219
"72","10141821947","1st Row Seating Capacity","2",101418219
"73","10141821947","2nd Row Seating Capacity","3",101418219
"74","10141821948","Front Air Conditioning Zones","dual",101418219
"75","10141821948","Front Air Conditioning","automatic climate control",101418219
"76","10141821948","Air Filtration","interior air filtration",101418219
"77","10141821949","Final Drive Ratio","4.44",101418219
"78","10141821950","Seatbelt Pretensioners","front",101418219
"79","10141821950","Seatbelt Force Limiters","front",101418219
"80","10141821950","2nd Row Center Seatbelt","3-point belt",101418219
"81","10141821951","Front Suspension Classification","independent",101418219
"82","10141821951","Rear Spring Type","coil springs",101418219
"83","10141821951","Independent Suspension","four-wheel",101418219
"84","10141821951","Rear Arm Type","trailing links, lateral links",101418219
"85","10141821951","Rear Suspension Type","multi-link",101418219
"86","10141821951","Front Arm Type","lower control arms",101418219
"87","10141821951","Rear Suspension Classification","independent",101418219
"88","10141821951","Front Stabilizer Bar","stabilizer bar",101418219
"89","10141821951","Front Spring Type","coil springs",101418219
"90","10141821951","Rear Stabilizer Bar","stabilizer bar",101418219
"91","10141821951","Front Suspension Type","MacPherson strut",101418219
"92","10141821953","Ege Highway Mpg","35",101418219
"93","10141821953","Epa Combined Mpg","28",101418219
"94","10141821953","Epa City Mpg","24",101418219
"95","10141821953","Curb Weight","2910",101418219
"96","10141821953","Turning Diameter","36.1",101418219
"97","10141821953","Epa Highway Mpg","35",101418219
"98","10141821953","Tco Curb Weight","2910",101418219
"99","10141821953","Ege Combined Mpg","28",101418219
"100","10141821953","Fuel Capacity","13.2",101418219
"101","10141821953","Ege City Mpg","24",101418219
"102","10141821954","Rear Brake Width","0.4",101418219
"103","10141821954","Front Brake Width","1.1",101418219
"104","10141821954","Rear Brake Type","disc",101418219
"105","10141821954","Electronic Brakeforce Distribution","electronic brakeforce distribution",101418219
"106","10141821954","Front Brake Diameter","11.1",101418219
"107","10141821954","Front Brake Type","ventilated disc",101418219
"108","10141821954","Antilock Braking System","4-wheel ABS",101418219
"109","10141821954","Braking Assist","braking assist",101418219
"110","10141821954","Rear Brake Diameter","10.2",101418219
"111","10141821955","Driven Wheels","front wheel drive",101418219
"112","10141821956","Cruise Control","cruise control",101418219
"113","10141821956","Floor Mats","floor mats",101418219
"114","10141821956","2nd Row Floor Mats","rear floor mats",101418219
"115","10141821956","Cargo Area Light","trunk light",101418219
"116","10141821956","Reading Lights","front reading lights",101418219
"117","10141821956","Retained Accessory Power","retained accessory power",101418219
"118","10141821956","Floor Mat Material","carpet",101418219
"119","10141821958","Number Of Driver Seat Manual Adjustments","8",101418219
"120","10141821958","Height Adjustable Driver Seat","height adjustable",101418219
"121","10141821959","Engine Immobilizer","engine immobilizer",101418219
"122","10141821959","Power Door Locks","remote keyless power door locks",101418219
"123","10141821959","2 Stage Unlocking","remote 2-stage unlocking",101418219
"124","10141821961","Head Airbags","front and rear",101418219
"125","10141821961","Passenger Airbag Deactivation","occupant sensing deactivation",101418219
"126","10141821961","Side Airbags","dual front",101418219
"127","10141821961","Passenger Airbag","Standard",101418219
"128","10141821961","Depowered Airbags","Standard",101418219
"129","10141821962","Folding 2nd Row","one-piece folding",101418219
"130","10141821962","2nd Row Seat Type","bench",101418219
"131","10141821962","Adjustable 2nd Row Headrests","height adjustable headrests",101418219
"132","10141821962","Number Of 2nd Row Headrests","3",101418219
"133","10141821962","2nd Row Center Armrest","folding with storage",101418219
"134","10141821962","2nd Row Upholstery","leatherette",101418219
"135","200419108","Total Number Of Speakers","6",101418219
"136","200419108","Digital Audio Input","auxiliary audio input and USB with external media control",101418219
"137","200419108","Antenna Type","mast",101418219
"138","200419108","Cd Player","single CD player",101418219
"139","200419108","Cd Mp3 Playback","CD MP3 Playback",101418219
"140","200419108","Speed Sensitive Volume Control","speed sensitive volume control",101418219
"141","200419108","Usb Connection","USB connection",101418219
"142","200419108","Radio Data System","radio data system",101418219
"143","200419108","Radio","AM/FM",101418219
"144","200419108","Watts","160",101418219
"145","200419114","Rear Tire Width","205",101418219
"146","200419114","Rear Tire Load Rating","89",101418219
"147","200419114","Rear Tire Prefix","P",101418219
"148","200419114","Tire Type","all season",101418219
"149","200419114","Rear Tire Diameter","16",101418219
"150","200419114","Rear Tire Profile","55",101418219
"151","200419114","Rear Tire Speed Rating","H",101418219
"152","200419121","Rim Type","alloy",101418219
"153","200419121","Rear Wheel Diameter","16",101418219
"154","200419121","Rear Wheel Width","6.5",101418219
"155","200419124","Warranty Miles Limited/unlimited","U",101418219
"156","200419124","Warranty Years Limited/unlimited","L",101418219
"157","200419124","Warranty Maximum Years","5",101418219
"158","200419124","Warranty Type","Rust",101418219
