"","styles.id","styles.name","styles.trim","styles.make.id","styles.make.name","styles.make.niceName","styles.model.id","styles.model.name","styles.model.niceName","styles.year.id","styles.year.year","styles.submodel.body","styles.submodel.modelName","styles.submodel.niceName","stylesCount","cars.make","cars.model","cars.year","cars.api","styles.submodel.fuel","styles.submodel.tuner"
"1",200431828,"2dr Regular Cab 6.1 ft. SB (2.7L 4cyl 4A)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Regular Cab","Tacoma Regular Cab","regular-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"2",200431830,"4dr Access Cab 6.1 ft. SB (2.7L 4cyl 5M)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"3",200431845,"V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 6M)","V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"4",200431844,"4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 4A)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"5",200431841,"V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A)","V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Double Cab","Tacoma Double Cab","double-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"6",200431833,"PreRunner V6 4dr Access Cab 6.1 ft. SB (4.0L 6cyl 5A)","PreRunner V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"7",200438853,"V6 4dr Double Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A)","V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Double Cab","Tacoma Double Cab","double-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"8",200431839,"2dr Regular Cab 4WD 6.1 ft. SB (2.7L 4cyl 4A)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Regular Cab","Tacoma Regular Cab","regular-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"9",200431836,"PreRunner V6 4dr Double Cab 6.1 ft. SB (4.0L 6cyl 5A)","PreRunner V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Double Cab","Tacoma Double Cab","double-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"10",200431837,"X-Runner V6 4dr Access Cab 6.1 ft. SB (4.0L 6cyl 6M)","X-Runner V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"11",200431847,"V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A)","V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"12",200431838,"2dr Regular Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Regular Cab","Tacoma Regular Cab","regular-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"13",200431832,"PreRunner 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 4A)","PreRunner",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"14",200431834,"PreRunner 4dr Double Cab 5.0 ft. SB (2.7L 4cyl 4A)","PreRunner",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Double Cab","Tacoma Double Cab","double-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"15",200431835,"PreRunner V6 4dr Double Cab 5.0 ft. SB (4.0L 6cyl 5A)","PreRunner V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Double Cab","Tacoma Double Cab","double-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"16",200431840,"V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 6M)","V6",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Double Cab","Tacoma Double Cab","double-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"17",200431827,"2dr Regular Cab 6.1 ft. SB (2.7L 4cyl 5M)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Regular Cab","Tacoma Regular Cab","regular-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"18",200431829,"4dr Double Cab 5.0 ft. SB (2.7L 4cyl 4A)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Double Cab","Tacoma Double Cab","double-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"19",200431831,"4dr Access Cab 6.1 ft. SB (2.7L 4cyl 4A)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"20",200431843,"4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M)","Base",200003381,"Toyota","toyota","Toyota_Tacoma","Tacoma","tacoma",200431825,2013,"Access Cab","Tacoma Access Cab","access-cab",20,"toyota","tacoma","2013","https://api.edmunds.com/api/vehicle/v2/toyota/tacoma/2013/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"21",101356411,"passion coupe 2dr Hatchback (1.0L 3cyl 5AM)","passion coupe",200038885,"smart","smart","smart_fortwo","fortwo","fortwo",100532009,2012,"Hatchback","fortwo Hatchback","hatchback",3,"smart","fortwo","2012","https://api.edmunds.com/api/vehicle/v2/smart/fortwo/2012/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"22",101356410,"pure coupe 2dr Hatchback (1.0L 3cyl 5AM)","pure coupe",200038885,"smart","smart","smart_fortwo","fortwo","fortwo",100532009,2012,"Hatchback","fortwo Hatchback","hatchback",3,"smart","fortwo","2012","https://api.edmunds.com/api/vehicle/v2/smart/fortwo/2012/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
"23",101419589,"passion cabriolet 2dr Convertible (1.0L 3cyl 5AM)","passion cabriolet",200038885,"smart","smart","smart_fortwo","fortwo","fortwo",100532009,2012,"Convertible","fortwo Convertible","convertible",3,"smart","fortwo","2012","https://api.edmunds.com/api/vehicle/v2/smart/fortwo/2012/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA,NA
