Count of cars.make,,,,
score,cars.make,cars.model,cars.distance,Total
0.939340752,,,,12
,smart,,,12
,,fortwo,,12
,,,0.326284408,1
,,,1.285731259,1
,,,1.707675984,1
,,,1.859699092,1
,,,1.873080792,1
,,,2.029991437,1
,,,2.264305113,1
,,,2.28196947,1
,,,2.377623015,1
,,,3.035767559,1
,,,4.268692449,1
,,,11.13029745,1
0.689085546,,,,50
,toyota,,,50
,,prius-c,,50
0.642451754,,,,2
,scion,,,2
,,iq,,2
0.641288963,,,,5
,scion,,,5
,,iq,,5
0.633366716,,,,1
,mitsubishi,,,1
,,mirage,,1
,,,1.97960538,1
0.631415929,,,,3
,smart,,,3
,,fortwo,,3
,,,1.092038614,1
,,,1.268891841,1
,,,1.986408554,1
0.627836327,,,,61
,smart,,,61
,,fortwo,,61
,,,0.046745222,1
,,,0.137981811,1
,,,0.146680936,1
,,,0.157225064,1
,,,0.184014435,1
,,,0.195884116,1
,,,0.218408529,1
,,,0.240068966,1
,,,0.27881282,1
,,,0.371351868,1
,,,0.396087573,1
,,,0.461337539,1
,,,0.553055141,1
,,,0.624070127,1
,,,0.907845525,1
,,,1.022194288,1
,,,1.233107295,1
,,,1.307316965,1
,,,1.37021417,1
,,,1.479140232,1
,,,1.506224235,1
,,,1.638355532,1
,,,1.7509727,1
,,,1.774227382,1
,,,1.783323423,1
,,,1.809363442,1
,,,1.862532251,1
,,,1.863753128,1
,,,1.872305717,1
,,,1.881299307,1
,,,2.006418518,1
,,,2.027731393,1
,,,2.076530272,1
,,,2.092094583,2
,,,2.152869647,1
,,,2.166019288,1
,,,2.185413841,1
,,,2.203039475,1
,,,2.21438811,1
,,,2.230433849,2
,,,2.28196947,1
,,,2.293255323,1
,,,2.326308602,1
,,,2.337954548,1
,,,2.409990882,1
,,,2.422746562,1
,,,2.480938665,1
,,,2.512321189,1
,,,2.533835427,1
,,,2.535529596,1
,,,2.536672677,1
,,,2.558878971,1
,,,2.610558872,1
,,,3.728055403,1
,,,4.268795813,1
,,,8.558724067,1
,,,9.889435478,1
,,,10.58374097,1
,,,11.1211531,1
0.624296504,,,,18
,smart,,,18
,,fortwo,,18
,,,0.249279113,1
,,,0.398550982,1
,,,1.351485445,1
,,,1.646520239,1
,,,1.782374654,1
,,,2.259728607,1
,,,2.26405523,1
,,,2.317781655,1
,,,2.339214495,1
,,,2.341796007,1
,,,2.35490186,1
,,,2.381852477,1
,,,2.512269302,1
,,,2.636726169,1
,,,2.688438895,1
,,,2.71711132,1
,,,2.720390902,1
,,,2.738141926,1
0.62427498,,,,20
,smart,,,20
,,fortwo,,20
,,,0.664348462,1
,,,0.848535276,1
,,,1.167775652,1
,,,1.207908232,1
,,,1.237497383,1
,,,1.610683055,1
,,,1.646520239,2
,,,1.783323423,1
,,,2.041522181,1
,,,2.06041873,1
,,,2.087817812,1
,,,2.135142404,1
,,,2.182740828,1
,,,2.230433849,1
,,,2.259728607,2
,,,2.268456556,1
,,,2.512269302,1
,,,2.542718436,1
0.618356039,,,,5
,fiat,,,5
,,500,,5
,,,1.161825844,1
,,,1.602962729,1
,,,1.615398164,1
,,,1.640623032,1
,,,2.485929291,1
0.618017807,,,,5
,honda,,,5
,,fit,,5
,,,1.97103703,1
,,,2.171968531,1
,,,2.409990882,1
,,,2.675707716,1
,,,2.790980478,1
0.614889107,,,,1
,chevrolet,,,1
,,spark,,1
,,,2.259728607,1
0.614794692,,,,9
,fiat,,,9
,,500,,9
,,,1.204092427,1
,,,1.578652908,1
,,,1.80229521,1
,,,1.896241914,1
,,,2.045815445,1
,,,2.122696443,1
,,,2.189948575,1
,,,2.291928711,1
,,,3.867731111,1
0.609920221,,,,3
,toyota,,,3
,,yaris,,3
,,,0.746796356,1
,,,1.552578158,1
,,,1.621732644,1
0.608832407,,,,10
,toyota,,,10
,,yaris,,10
,,,1.420236606,1
,,,1.611141912,1
,,,1.668342659,1
,,,1.876759553,1
,,,2.259728607,2
,,,2.409990882,1
,,,2.548727321,1
,,,2.632357795,1
,,,10.96715692,1
0.607659044,,,,3
,mazda,,,3
,,2,,3
,,,1.445025108,1
,,,1.651021015,1
,,,10.8091492,1
0.607475818,,,,3
,toyota,,,3
,,yaris,,3
,,,0.443954599,1
,,,0.984449277,1
,,,2.442045494,1
0.607398338,,,,6
,honda,,,6
,,fit,,6
,,,0.378436833,1
,,,0.51672962,1
,,,1.308316183,1
,,,1.967770525,1
,,,2.009212535,1
,,,2.409990882,1
0.60661236,,,,1
,chevrolet,,,1
,,spark,,1
,,,3.56641075,1
0.606335098,,,,1
,kia,,,1
,,rio,,1
,,,1.233107295,1
0.606205203,,,,7
,honda,,,7
,,fit,,7
,,,0.65961474,1
,,,2.254218278,1
,,,2.619836035,1
,,,9.828115725,1
,,,10.11404786,1
,,,11.19796048,1
,,,11.32939405,1
0.603652931,,,,5
,mini,,,5
,,cooper,,5
,,,1.198275323,1
,,,1.44539491,1
,,,1.736924004,1
,,,1.920164418,1
,,,2.259728607,1
0.603084323,,,,1
,honda,,,1
,,fit,,1
,,,10.50558558,1
0.603008048,,,,1
,ford,,,1
,,fiesta,,1
,,,2.430279544,1
0.60266538,,,,14
,honda,,,14
,,fit,,14
,,,0.259501721,1
,,,0.631535728,1
,,,0.771296659,1
,,,1.199248099,1
,,,1.647834834,1
,,,1.860902953,1
,,,2.194242174,1
,,,2.200084802,1
,,,2.39270079,1
,,,2.692298936,1
,,,3.587986318,1
,,,3.776349377,1
,,,10.18365841,1
,,,10.85617422,1
0.601804212,,,,1
,toyota,,,1
,,yaris,,1
,,,3.680695251,1
0.601220981,,,,10
,mini,,,10
,,cooper,,10
,,,0.384330485,1
,,,0.594941509,1
,,,1.151297307,1
,,,1.291839166,1
,,,1.39891795,1
,,,1.789670081,1
,,,2.676195993,1
,,,2.886551485,1
,,,3.122400585,1
,,,3.436054539,1
0.599142485,,,,1
,volkswagen,,,1
,,golf,,1
,,,0.727980083,1
0.598299034,,,,1
,mazda,,,1
,,mx-5-miata,,1
,,,2.259728607,1
0.598028006,,,,5
,nissan,,,5
,,versa,,5
,,,1.184382922,1
,,,2.383413834,1
,,,2.525606873,1
,,,11.08056514,1
,,,12.1039713,1
0.597681158,,,,8
,mini,,,8
,,cooper,,8
,,,1.570358602,1
,,,1.823754803,1
,,,2.2452465,1
,,,2.359218023,1
,,,2.997451497,1
,,,3.107870894,1
,,,9.905281964,1
,,,10.57603024,1
0.597637276,,,,1
,mini,,,1
,,cooper-clubman,,1
,,,2.094896726,1
0.597597611,,,,1
,hyundai,,,1
,,accent,,1
,,,3.474076868,1
0.596994358,,,,2
,hyundai,,,2
,,elantra-gt,,2
,,,2.268570976,1
,,,2.28196947,1
0.596865465,,,,1
,chevrolet,,,1
,,sonic,,1
,,,1.858802192,1
0.596616833,,,,1
,scion,,,1
,,xa,,1
,,,0.338744525,1
0.595590838,,,,1
,mini,,,1
,,cooper-countryman,,1
,,,2.359060185,1
0.594746303,,,,3
,kia,,,3
,,soul,,3
,,,0.805736987,1
,,,1.978525297,1
,,,8.699491235,1
0.594183299,,,,1
,nissan,,,1
,,juke,,1
,,,1.092038614,1
0.594170678,,,,22
,fiat,,,22
,,500,,22
,,,0.521249105,1
,,,0.661622359,1
,,,0.746073086,1
,,,0.862694894,1
,,,0.974595713,1
,,,1.229935558,1
,,,1.231811504,1
,,,1.545264349,1
,,,1.606721703,1
,,,1.749148659,1
,,,1.891754407,1
,,,1.992904346,1
,,,2.005445556,1
,,,2.126163532,1
,,,2.259728607,1
,,,2.287795162,1
,,,2.323335478,1
,,,2.584154313,1
,,,2.827924405,1
,,,9.689095867,1
,,,10.6982061,1
,,,11.14040179,1
