,cars.car_name,cars.make,cars.model,cars.year,cars.distance,score,score.dist,X,cars.price_daily,cars.car_photo,cars.price_weekly,cars.dedicated_parking,cars.price_hourly,cars.longitude,cars.latitude,cars.timezone,cars.carkit_enabled,cars.car_id,distance.factor,zero_sixty_norm,is_performance,is_tuner,is_exotic,is_coupe,is_convertible,is_hatchback,is_awd,is_rwd
1,davesm4droptop,bmw,m4,2015,2.259728607,0.71826087,0.287304348,776,330,https://www.getaround.com/images_server/blob/AMIfv95TqaWiI86PStxRfIq7t1ZZDizljVjC1xTIWknMLsNp-Sa_Wbw5MnjZKszbGXyXejY8qppX2lnZp4XnJRfI3Re1OqUEDPWooU4va7yQxjl7eTh3UrOH93n7-_nz8WgLV2zcZp_rlCiehT9nLp18V-fP-fu2Sw,1980,TRUE,33,-122.4052064,37.7832966,America/Los_Angeles,TRUE,1.00004E+14,0.4,0.37826087,0.04,0.16,0,0.06,0,0,0,0.08
2,alexs5,audi,s5,2014,2.617364295,0.646086957,0.258434783,1002,280,https://www.getaround.com/images_server/blob/AMIfv94N3WPmSUGLBDySeRg3j-YkM0737g9Vcrp1fHA1v53dW3SC1xfWjm2uvZTay7v6TQYVsTpS35uHbqdkW31hEXOQ5MRRFXagXD9yLWPu_maAE7U0qEgzDRKQWXm_jx_0HC4xHv9w6wRN6CEryU2pghEnSzNQOQ,1680,FALSE,28,-122.4188992,37.8040304,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.326086957,0.04,0.16,0,0,0.1,0,0.02,0
3,BlackBetty,audi,s4,2006,1.488412685,0.624347826,0.374608696,370,140,https://www.getaround.com/images_server/blob/AMIfv97rwscj17GnCmiFWvPcAwTrjT4TzEWsUs-tEe8KvkqmGt-bslGey8R3RzakSELX28npm7Ba7X94PVuk-ZTamLKUGE1px7EYzrcKUnWg-l8E2d2mz_ZqOB_xPTRfSQw_Qab30bBj5WWSO45HwyIsH2M0eGi29A,840,TRUE,14,-122.4246196,37.7564983,America/Los_Angeles,TRUE,1103,0.6,0.304347826,0.04,0.16,0,0,0.1,0,0.02,0
4,MBZ350,mercedes-benz,e-class,2014,3.407863353,0.62,0.248,1183,250,https://www.getaround.com/images_server/blob/AMIfv94mfEHYRbZ6oBnouJYydX4TCSfAqIYm-JN3ke5jobiJ_oSlhAKQfNhGzIT-6UQk_aioFpkd5sufYudk58Bpmc21cD-h_t-Mlr4PkcOEmJrzIaai9M1M92C9qxYRo8nP9nZI2v3jX5Lq3Xr4CTfUZiKbOG4BgQ,1500,TRUE,25,-122.4045672,37.733449,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.4,0.04,0.16,0,0,0,0,0.02,0
5,supere350,mercedes-benz,e-class,2014,3.513106189,0.62,0.248,1195,120,https://www.getaround.com/images_server/blob/AMIfv94DAxgH6VpPesI3Fq_4tt76-gBeIGqgajVLVggfIqS2ylB74oCcowQ7vylb_vQMqzf8iMyg3phRNqo-mKf2QCTqNWCtedbec8Z1XeeD5YmEblg7m-ZMH2QufWSCCjRNAMLWCwVaC16NkYUSuJJhcGE2SnxTxQ,720,FALSE,12,-122.4912278,37.7373206,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.4,0.04,0.16,0,0,0,0,0.02,0
6,s3sf,audi,s3,2016,3.195691635,0.572173913,0.228869565,1169,150,https://www.getaround.com/images_server/blob/AMIfv94bko4JiPwpmAJgYLcifYcFcR8OXTKh7Da9OjLqfASD4ogkP7gQiEa9K8bOeKwd3ND3m0_si8Pddpph_z4ehKPhwqXZ3s-gpwz5f2n6O2Ml-GUw6k0C0SWRarEAqN-yDl43mAhr6_RGFDAdOIrGChaCnjoPWw,900,TRUE,15,-122.3901844,37.7900517,America/Los_Angeles,TRUE,1.00006E+14,0.4,0.352173913,0.04,0.16,0,0,0,0,0.02,0
7,RedS4,audi,s4,2012,2.583745776,0.563478261,0.225391304,980,140,https://www.getaround.com/images_server/blob/AMIfv97h2jUYEqBWkFKdIMniyacM7yTnPgdv8dMfSWSrM92l3yfY0J547WIn_KLORxp0b6gUw_DnUPG4iC7v7QuyluS2wkpP1Px8Tr-3qQ3qbYaMPOxjQR7ZCcIN6NmroCWqwu4Yas0wzsYyAfUBcUAqGKmGWhaVIA,840,TRUE,14,-122.4283104,37.8070166,America/Los_Angeles,TRUE,1.00004E+14,0.4,0.343478261,0.04,0.16,0,0,0,0,0.02,0
8,moopoints,audi,sq5,2014,2.333754088,0.554782609,0.221913043,840,180,https://www.getaround.com/images_server/blob/AMIfv958aVbJVm3oKfrgbnug-xIaC0c9XoRp2BBec0pARmv-TA-8117SbWLaPcjA3GCFjAirhCCqifvLRSzLIKk5Ti-xdNeupEXN8tIzjgwgIcfDSJSyZoN_pzJqZ4aWiGYrmSkZ9YGkUCsL7PfKP36eWzs4aQc31A,0,FALSE,18,-122.4030143,37.7619217,America/Los_Angeles,TRUE,1.00005E+14,0.4,0.334782609,0.04,0.16,0,0,0,0,0.02,0
9,woodchuck,porsche,boxster,2013,1.000216205,0.537391304,0.322434783,187,250,https://www.getaround.com/images_server/blob/AMIfv97Zf9iAzrrXpLNKPB7QR_CWyIa2z25-CA7KIpRPWxt3basrj7UoEsovBzcyB7eY8wsIHor9-4KC4TjTB0UayB1_QOzBmyTsjRbspzWLTwNy2YKYPBtno-b09379SApnMqbGpL9Rm9oVHis1pmwYUVU2rKJnng,1500,TRUE,25,-122.4331034,37.7834112,America/Los_Angeles,TRUE,1.00005E+14,0.6,0.317391304,0.04,0,0,0,0.1,0,0,0.08
10,autopilot2.0,tesla,model-s,2016,1.121546495,0.537391304,0.322434783,228,350,https://www.getaround.com/images_server/blob/AMIfv94VHfvc2cRu45_TQN7MvnoRsFwnz4KDurzpHQCjVmbS5GjMl_LLmpl8z9-QSBXT0AGMdRjUbCXrerDvdIrdWdPwbmw0Q_wKA1qZ1365wtnQi4ceimjZEMcyrWhWpojUPVMVe2_0cEQ-ewnYXJ63yrJbW-UIiA,2100,TRUE,35,-122.4241271,37.7761054,America/Los_Angeles,TRUE,1.00006E+14,0.6,0.317391304,0.04,0,0.1,0,0,0,0,0.08
