"","styles.id","styles.drivewheels","styles.doors","categories.market","categories.vehiclesize","categories.vehiclestyle","engine.cylinder","engine.horsepower","engine.torque"
"1","101418219","front wheel drive","4","Luxury","Compact","Sedan","4","150","140"
"2","200701416","front wheel drive","4","Luxury","Compact","Sedan","4","150","140"
"3","100650681","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","6","253","250"
"4","101037425","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","6","300","275"
"5","100773231","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","4","240","260"
"6","100905540","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","4","240","260"
"7","101413824","front wheel drive","4","Luxury,Performance","Midsize","Sedan","6","310","272"
"8","100655175","front wheel drive","4","Luxury,Performance","Midsize","Sedan","6","258","233"
"9","100668206","front wheel drive","4","Luxury","Midsize","Sedan","4","205","164"
"10","101147985","front wheel drive","4","Luxury","Midsize","Sedan","4","201","172"
"11","101254327","front wheel drive","4","Luxury","Midsize","Sedan","4","201","172"
"12","101373067","front wheel drive","4","Luxury","Midsize","Wagon","4","201","170"
"13","101148034","front wheel drive","4","Luxury","Compact","Wagon","4","200","207"
"14","200428354","all wheel drive","4","Luxury","Compact","Sedan","4","220","258"
"15","200736135","front wheel drive","4","Luxury","Compact","Sedan","4","170","200"
"16","200748641","front wheel drive","4","Hatchback,Luxury,Hybrid","Compact","4dr Hatchback","4","204","258"
"17","100549247","front wheel drive","4","Luxury","Compact","Sedan","4","200","207"
"18","100882872","front wheel drive","4","Luxury","Compact","Sedan","4","200","207"
"19","101052651","front wheel drive","2","Luxury","Compact","Convertible","4","200","207"
"20","101186695","front wheel drive","4","Luxury","Midsize","Sedan","4","211","258"
"21","200477385","all wheel drive","4","Luxury","Midsize","Sedan","4","220","258"
"22","200701687","front wheel drive","4","Luxury","Midsize","Sedan","4","220","258"
"23","200478243","all wheel drive","2","Luxury","Midsize","Coupe","4","220","258"
"24","101343993","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","4","211","258"
"25","101391515","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","4","211","258"
"26","200478731","all wheel drive","4","Crossover,Luxury,Hybrid","Midsize","4dr SUV","4","245","354"
"27","200702780","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","4","220","258"
"28","200466202","all wheel drive","4","Factory Tuner,Luxury,High-Performance","Compact","Sedan","4","292","280"
"29","200736281","all wheel drive","4","Factory Tuner,Luxury,High-Performance","Compact","Sedan","4","292","280"
"30","100549025","all wheel drive","2","Factory Tuner,Luxury,Performance","Compact","Convertible","8","340","302"
"31","101394448","all wheel drive","4","Factory Tuner,Luxury,High-Performance","Midsize","Sedan","6","333","325"
"32","200479503","all wheel drive","2","Factory Tuner,Luxury,Performance","Midsize","Convertible","6","333","325"
"33","200459119","all wheel drive","4","Crossover,Factory Tuner,Luxury,High-Performance","Midsize","4dr SUV","6","354","347"
"34","100974974","rear wheel drive","2","Luxury,Performance","Compact","Coupe","6","230","200"
"35","101082655","rear wheel drive","2","Luxury,Performance","Compact","Coupe","6","230","200"
"36","101200599","rear wheel drive","2","Luxury","Compact","Coupe","6","230","200"
"37","101288165","rear wheel drive","2","Luxury,Performance","Compact","Coupe","6","230","200"
"38","100180616","rear wheel drive","4","Luxury","Compact","Sedan","6","184","175"
"39","100273737","rear wheel drive","2","Luxury","Compact","Convertible","6","184","175"
"40","100467103","rear wheel drive","4","Luxury","Compact","Sedan","6","184","175"
"41","100530523","rear wheel drive","4","Luxury","Compact","Sedan","6","215","185"
"42","100775891","rear wheel drive","2","Luxury,Performance","Compact","Coupe","6","230","200"
"43","100946384","rear wheel drive","2","Luxury,Performance","Compact","Coupe","6","230","200"
"44","101082763","rear wheel drive","2","Luxury,Performance","Compact","Coupe","6","230","200"
"45","101200928","rear wheel drive","2","Luxury,Performance","Compact","Coupe","6","230","200"
