"","styles.id","Curb Weight","Epa City Mpg","Epa Combined Mpg","Epa Interior Volume","Max Cargo Capacity","Total Number Of Speakers"
"1",100003122,"3485","19","22",NA,"81.4","6"
"2",100003141,"2770","19","21",NA,NA,"4"
"3",100078156,NA,"15","17",NA,NA,"4"
"4",100167043,"3485","19","22",NA,"81.4","6"
"5",100180616,"3219","18","21","90.8","10.7","10"
"6",100257805,"4120","17","20",NA,"148.9","6"
"7",100262129,"3432","18","21","117.2",NA,"8"
"8",100273737,"3560","17","20","80",NA,"10"
"9",100278056,"3276","19","22","108","36.5","4"
"10",100278279,"3576","18","20","114.1","39.8","8"
"11",100316712,"3990","15","16",NA,NA,"4"
"12",100322064,"3460","18","21","96.4","14.5","7"
"13",100330037,"3086","21","24","101.7","16.7","6"
"14",100339428,"3520","19","22",NA,"80.6","6"
"15",100339738,"2750","20","22",NA,NA,"4"
"16",100344064,"2449","27","30","91.4",NA,"4"
"17",100344930,"3428","17","20","99.1","14","10"
"18",100347929,"3075","21","24","78","5","10"
"19",100350457,"2932","18","21",NA,NA,"10"
"20",100375779,"3331","19","21",NA,"74.6",NA
"21",100375993,"3180","21","24",NA,"66.3","4"
"22",100380630,"4225","14","16",NA,NA,"4"
"23",100385376,"3764","17","20",NA,"146.7","2"
"24",100385379,"3838","17","20",NA,"167.9","2"
"25",100394563,"2530","28","31","103.9","13.6","4"
"26",100395248,"2679","26","29","96.2","53.2","4"
"27",100396647,"5295","13","15",NA,"217.3","4"
"28",100401305,"5100","9","10",NA,"57.7","9"
"29",100402023,"3250","21","23",NA,"38.1","6"
"30",100407580,"3770","18","20",NA,"8.6","10"
"31",100414631,"3965","16","18",NA,NA,"4"
"32",100414742,"2524","24","28",NA,"23.7",NA
"33",100448663,"3959","18","20",NA,"85.2",NA
"34",100454051,"2890","48","46","110",NA,"6"
"35",100456703,"2513","24","27","88.5","11.6",NA
"36",100458136,"4120","17","19",NA,"148.9","6"
"37",100463342,"2696","24","27","105.7","11.4","4"
"38",100463426,"3102","21","23","111.3",NA,"6"
"39",100467103,"3219","18","21","90.8","10.7","10"
"40",100467369,"2456","27","30","98.8","12.9","4"
"41",100474925,"3318","20","23",NA,"72.0","4"
"42",100477660,"3034","21","24","123","51.9","8"
"43",100478472,"5379","11","12",NA,"62.0","15"
"44",100481919,"2934","21","24","106","41.8","8"
"45",100487508,"4808","13","14",NA,NA,"6"
"46",100488945,"4001","15","18",NA,"71.0","10"
"47",100489094,"3075","21","24","83.0","5.0","6"
"48",100530523,"3285","18","21","93.0","12.0","10"
"49",100531498,"3610","30","29",NA,"65.5","4"
"50",100534615,"3458","18","21","121.7",NA,"6"
"51",100543746,"3274","20","23","97.3","15.7","6"
"52",100549025,"4211","13","16","89.0","10.2","9"
"53",100549247,"3428","20","24","103.5","13.4","10"
"54",100552436,"3447","18","21",NA,NA,"6"
"55",100553230,"3209","17","20",NA,"9.8","9"
"56",100563860,"3303","18","21",NA,NA,"2"
"57",100563874,"2441","22","24",NA,"5.3","4"
"58",100566036,NA,"21","24","118.5","16.7","6"
"59",100570404,"2380","27","30",NA,"32.8","6"
"60",100578062,"2530","28","31","103.8","13.5","4"
"61",100578150,"4286","14","16",NA,NA,"4"
"62",100579324,"2679","26","29","96.2","53.2","4"
"63",100593572,"4560","14","16",NA,NA,"4"
"64",100595808,"2524","24","28",NA,"23.7","6"
"65",100605913,"3010","21","23",NA,NA,"2"
"66",100612897,"3772","16","18",NA,"127.0","6"
"67",100613622,"3351","16","18","87.6","11.0","6"
