"","styles.id","styles.year.year","styles.make.niceName","styles.model.niceName","styles.trim","styles.submodel.niceName"
"1",200431829,2013,"toyota","tacoma","Base","double-cab"
"2",200431830,2013,"toyota","tacoma","Base","access-cab"
"3",200431839,2013,"toyota","tacoma","Base","regular-cab"
"4",200431828,2013,"toyota","tacoma","Base","regular-cab"
"5",200431838,2013,"toyota","tacoma","Base","regular-cab"
"6",200431843,2013,"toyota","tacoma","Base","access-cab"
"7",200431831,2013,"toyota","tacoma","Base","access-cab"
"8",200431827,2013,"toyota","tacoma","Base","regular-cab"
"9",200431844,2013,"toyota","tacoma","Base","access-cab"
"10",200434267,2013,"mini","cooper","Base","hatchback"
"11",200434266,2013,"mini","cooper","Base","convertible"
"12",200742456,2016,"scion","ia","Base","sedan"
"13",200730056,2016,"scion","ia","Base","sedan"
"14",101200427,2010,"honda","fit","Base","hatchback"
"15",101200428,2010,"honda","fit","Base","hatchback"
"16",100570404,2006,"scion","xa","Base","hatchback"
"17",100570405,2006,"scion","xa","Base","hatchback"
"18",200736668,2016,"mini","cooper-countryman","Base","wagon"
"19",101362265,2011,"volkswagen","jetta","Base","sedan"
"20",101362264,2011,"volkswagen","jetta","Base","sedan"
"21",100454051,2005,"toyota","prius","Base","hatchback"
"22",101293762,2011,"mini","cooper","Base","hatchback"
"23",101357471,2011,"mini","cooper","Base","convertible"
"24",100920099,2008,"toyota","prius","Base","hatchback"
"25",101386719,2012,"kia","sportage","Base","suv"
"26",101225901,2012,"scion","iq","Base","hatchback"
"27",100777997,2007,"volkswagen","jetta","Base","sedan"
"28",100778007,2007,"volkswagen","jetta","Base","sedan"
"29",101351364,2011,"toyota","rav4","Base","suv"
"30",101351370,2011,"toyota","rav4","Base","suv"
"31",101351365,2011,"toyota","rav4","Base","suv"
"32",101351371,2011,"toyota","rav4","Base","suv"
"33",101395834,2012,"mini","cooper","Base","hatchback"
"34",101395837,2012,"mini","cooper","Base","convertible"
"35",200498784,2014,"hyundai","elantra-gt","Base","hatchback"
"36",200498787,2014,"hyundai","elantra-gt","Base","hatchback"
"37",200498786,2014,"hyundai","elantra-gt","Base","hatchback"
"38",200498785,2014,"hyundai","elantra-gt","Base","hatchback"
"39",101403464,2012,"honda","fit","Base","hatchback"
"40",101403465,2012,"honda","fit","Base","hatchback"
"41",100975556,2009,"toyota","camry","Base","sedan"
"42",100975555,2009,"toyota","camry","Base","sedan"
"43",200429043,2013,"honda","fit","Base","hatchback"
"44",200429042,2013,"honda","fit","Base","hatchback"
"45",101393730,2012,"volkswagen","jetta","Base","sedan"
"46",101393729,2012,"volkswagen","jetta","Base","sedan"
"47",100668257,2006,"toyota","prius","Base","hatchback"
"48",101042875,2009,"toyota","prius","Base","hatchback"
"49",101162055,2010,"volkswagen","gti","Base","hatchback"
"50",101209637,2010,"volkswagen","gti","Base","hatchback"
"51",101209642,2010,"volkswagen","gti","Base","hatchback"
"52",101209640,2010,"volkswagen","gti","Base","hatchback"
"53",101200502,2010,"toyota","yaris","Base","sedan"
"54",101200497,2010,"toyota","yaris","Base","hatchback"
"55",101200501,2010,"toyota","yaris","Base","sedan"
"56",101200500,2010,"toyota","yaris","Base","hatchback"
"57",101200498,2010,"toyota","yaris","Base","hatchback"
"58",101200499,2010,"toyota","yaris","Base","hatchback"
"59",200673684,2014,"lexus","ct-200h","Base","hatchback"
"60",200722069,2016,"scion","im","Base","hatchback"
"61",200742459,2016,"scion","im","Base","hatchback"
"62",100640227,2006,"suzuki","reno","Base","hatchback"
"63",100640228,2006,"suzuki","reno","Base","hatchback"
"64",100563864,2006,"chevrolet","colorado","Base","extended-cab"
"65",100563865,2006,"chevrolet","colorado","Base","extended-cab"
"66",200708301,2015,"mini","cooper-countryman","Base","wagon"
"67",101404119,2012,"kia","soul","Base","wagon"
"68",101351639,2012,"kia","soul","Base","wagon"
"69",200426353,2013,"kia","soul","Base","wagon"
"70",200426352,2013,"kia","soul","Base","wagon"
"71",101020574,2009,"ford","escape-hybrid","Base","suv"
"72",101020575,2009,"ford","escape-hybrid","Base","suv"
"73",200706813,2015,"kia","soul","Base","wagon"
"74",200706814,2015,"kia","soul","Base","wagon"
"75",101394235,2012,"scion","xb","Base","wagon"
"76",101394234,2012,"scion","xb","Base","wagon"
"77",100728688,2007,"scion","tc","Base","hatchback"
"78",100728687,2007,"scion","tc","Base","hatchback"
"79",100777218,2007,"toyota","prius","Base","hatchback"
"80",101352066,2011,"lexus","is-250","Base","sedan"
"81",101352237,2011,"lexus","is-250","Base","sedan"
"82",101352065,2011,"lexus","is-250","Base","sedan"
"83",200711754,2015,"volkswagen","jetta","Base","sedan"
"84",200423072,2013,"hyundai","veloster","Base","hatchback"
"85",200423073,2013,"hyundai","veloster","Base","hatchback"
"86",200473291,2013,"hyundai","veloster","Base","hatchback"
