"","styles.id","styles.name","styles.trim","styles.make.id","styles.make.name","styles.make.niceName","styles.model.id","styles.model.name","styles.model.niceName","styles.year.id","styles.year.year","styles.submodel.body","styles.submodel.modelName","styles.submodel.niceName","stylesCount","cars.make","cars.model","cars.year","cars.api","styles.submodel.fuel"
"1",100905540,"4dr SUV AWD (2.3L 4cyl Turbo 5A)","Base",200002038,"Acura","acura","Acura_RDX","RDX","rdx",100523811,2008,"SUV","RDX SUV","suv",2,"acura","rdx","2008","https://api.edmunds.com/api/vehicle/v2/acura/rdx/2008/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"2",100905541,"4dr SUV AWD w/Technology Package (2.3L 4cyl Turbo 5A)","Base",200002038,"Acura","acura","Acura_RDX","RDX","rdx",100523811,2008,"SUV","RDX SUV","suv",2,"acura","rdx","2008","https://api.edmunds.com/api/vehicle/v2/acura/rdx/2008/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"3",101037440,"Sport Package 4dr SUV AWD (3.7L 6cyl 5A)","Sport Package",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100525749,2009,"SUV","MDX SUV","suv",5,"acura","mdx","2009","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2009/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"4",101037439,"Technology and Entertainment Packages 4dr SUV AWD (3.7L 6cyl 5A)","Technology and Entertainment Packages",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100525749,2009,"SUV","MDX SUV","suv",5,"acura","mdx","2009","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2009/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"5",101037426,"Technology Package 4dr SUV AWD (3.7L 6cyl 5A)","Technology Package",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100525749,2009,"SUV","MDX SUV","suv",5,"acura","mdx","2009","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2009/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"6",101037425,"4dr SUV AWD (3.7L 6cyl 5A)","Base",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100525749,2009,"SUV","MDX SUV","suv",5,"acura","mdx","2009","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2009/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"7",101037441,"Sport and Entertainment Packages 4dr SUV AWD (3.7L 6cyl 5A)","Sport and Entertainment Packages",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100525749,2009,"SUV","MDX SUV","suv",5,"acura","mdx","2009","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2009/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"8",100773231,"4dr SUV AWD (2.3L 4cyl Turbo 5A)","Base",200002038,"Acura","acura","Acura_RDX","RDX","rdx",100505131,2007,"SUV","RDX SUV","suv",2,"acura","rdx","2007","https://api.edmunds.com/api/vehicle/v2/acura/rdx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"9",100773236,"4dr SUV AWD w/Technology Package (2.3L 4cyl Turbo 5A)","Base",200002038,"Acura","acura","Acura_RDX","RDX","rdx",100505131,2007,"SUV","RDX SUV","suv",2,"acura","rdx","2007","https://api.edmunds.com/api/vehicle/v2/acura/rdx/2007/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"10",100650685,"Touring 4dr SUV AWD w/Nav, Entertainment System (3.5L 6cyl 5A)","Touring",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100506940,2006,"SUV","MDX SUV","suv",5,"acura","mdx","2006","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"11",100650684,"Touring 4dr SUV AWD w/Nav (3.5L 6cyl 5A)","Touring",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100506940,2006,"SUV","MDX SUV","suv",5,"acura","mdx","2006","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
"12",100650683,"Touring 4dr SUV AWD w/Entertainment System (3.5L 6cyl 5A)","Touring",200002038,"Acura","acura","Acura_MDX","MDX","mdx",100506940,2006,"SUV","MDX SUV","suv",5,"acura","mdx","2006","https://api.edmunds.com/api/vehicle/v2/acura/mdx/2006/styles?state=used&view=basic&fmt=json&api_key=5gttt525w7ktadeqkytk2jez",NA
