"","cars.year","cars.make","cars.model","cars.car_name","cars.car_id","cars.distance"
"1","2013","toyota","tacoma","samtruck","100004043321185",0.0420545433082464
"2","2012","smart","fortwo","smartdj2","100005342371185",0.046745221838165
"3","2015","toyota","prius","SugarloafC","100006246371185",0.083516042525323
"4","2010","honda","civic","JaneHonda2","100005035311186",0.124886737672557
"5","2006","honda","civic","CoupeMobile","100004554041188",0.126092777217313
"6","2016","toyota","prius","Prius50","100006375271187",0.126900881036777
"7","2016","audi","a3","Baldwin","100005298791185",0.129217687521379
"8","2015","audi","a3","tritonia","100004639961185",0.13163055267416
"9","2012","smart","fortwo","smartcarted","100004850691188",0.137981810742101
"10","2008","ford","f-150","fordtrucksf","100004608021186",0.141978416744545
"11","2016","toyota","prius","Prius40","100006370971185",0.145968243256423
"12","2013","smart","fortwo","smartcart","100004442451185",0.146680936430801
"13","2013","mini","cooper","SheldonMiniCooper","100004940721185",0.15198023564918
"14","2012","toyota","prius-c","sfgetaround","100005493381185",0.157013167912127
"15","2013","smart","fortwo","Galileo","100005885611188",0.157225064322656
"16","2013","smart","fortwo","smartcarterrific","100004850211187",0.184014435443542
"17","2012","smart","fortwo","smartdj1","100005343271185",0.195884115788583
"18","2008","ford","ranger","DustinM","100004911871185",0.200206751172941
"19","2012","smart","fortwo","smartdj4","100005339591185",0.218408529303585
"20","2013","smart","fortwo","Ginarox","100005727391185",0.240068965791824
"21","2011","smart","fortwo","haightsmartie","100005075351185",0.249279112733601
"22","2016","scion","ia","CloverdaleC","100006237121187",0.253592797763988
"23","2013","toyota","prius","FortFunstonC","100006246601186",0.253592797763988
"24","2010","honda","fit","sportyfitmobile","100006158841185",0.259501721430098
"25","2013","smart","fortwo","Socrates","100005882051185",0.27881281971719
"26","2006","kia","spectra","SFgold","100004710831185",0.30040157353543
"27","2008","honda","civic","Flatiron","100004802001185",0.319840352771628
"28","2012","toyota","corolla","carmen","100003980966185",0.320087552753392
"29","2015","smart","fortwo","smartcarlance","100004610211185",0.326284408133455
"30","2013","toyota","tacoma","HeyCharlie","100006198361185",0.335817964109927
"31","2014","jeep","wrangler","jeepjeepjeep","100004577911185",0.336647938786325
"32","2014","toyota","prius","99Dalmatians","100004936791187",0.337049948039196
"33","2006","scion","xa","Dante","100005111561185",0.338744524937588
"34","2016","mini","cooper-countryman","elainestritch","100006110721185",0.357261275200125
"35","2014","toyota","prius","StowLakeC","100006249511185",0.359153275725595
"36","2015","toyota","prius","ElCaminoC","100006247341185",0.359708347163641
"37","2011","volkswagen","jetta","maryrosevw","100005230011186",0.369793890794105
"38","2013","smart","fortwo","babyblueSmartForTwo","100005880871185",0.371351868148122
"39","2014","audi","q5","goodtimes","100005124841185",0.372276052786322
"40","2015","honda","fit","fitwitit","100005870351185",0.378436832528743
